Key,Description,Standard,EN
SAY.Chapter1.19.Sophie,,您好，请问您今天是来参与“Rebecca，毕业快乐♥” 悼念会的吗？,"Hi, are you here to join the “ Happy Graduate, Rebecca♥” memorial service?"
SAY.Chapter1.430.Protagonist,,{i}(原来那个黑白画像就是Rebecca，情杀案件的受害者。) {/i},"{i}(It turns out that the black and white portrait is Rebecca, the victim of the love murder case.){/i}"
SAY.Chapter1.449.Sophie,,我们现在正在举办纪念已逝学姐Rebecca Rochester的活动。不知道您是否有兴趣知道详情？,"This event commemorates our deceased classmate, Rebecca Rochester. Would you like to hear the details?"
SAY.Chapter1.809.Protagonist,,既然这样，那我当然是……,"In this case, of course I am..."
MENU.Chapter1.432,,请你说的详细一点 - 你认识Rebecca吗？,"Please tell me more, do you know Rebecca?"
MENU.Chapter1.446,,"没有兴趣, 请不要打扰我。","I'm not interested, sorry."
SAY.Chapter1.895.Sophie,,您找我还有什么事吗？如果您不买花的话我就先失陪了。,"Is there anything else you need from me? If you're not interested in buying flowers, I have other things to do."
MENU.Chapter1.898,,请等一下，我反复考虑决定还是买一束吧，希望你还有存货。,"Please wait a moment, I've decided to buy a bunch."
MENU.Chapter1.899,,算了，没事，你去忙吧,"Never mind, please go about your business."
SAY.Chapter1.907.Sophie,,还有什么我还可以帮到您的事情吗？,Is there anything else I can help you with?
SAY.Chapter1.908.Protagonist,,{i}（有什么疑问需要咨询吗？）{/i},{i}(Do I have any questions?){/i}
SAY.Chapter1.43.Protagonist,,这位同学，你也来悼念Rebecca吗？,"Hello, are you here to mourn Rebecca too?"
SAY.Chapter1.628.Anonymous Student,,我的同班同学是主办人，因此我只是过来帮忙。,"My classmate is the host, so I just came along to help."
SAY.Chapter1.629.Protagonist,,可以麻烦你回答我几个问题吗？我觉得你们办的这个活动很有启发性。,Can I ask you a few questions? I find this event very intriguing.
SAY.Chapter1.631.Anonymous Student,,……如果不是什么敏感问题，我应该可以回答。,"...If it is not a sensitive question, I should be able to answer it."
MENU.Chapter1.981,,校方支持你们举办这场悼念会吗？,Does the school support you in holding this event?
MENU.Chapter1.982,,整场活动都是学生自己组织的吗？,Is the entire event organized by the students?
SAY.Chapter1.1242.Protagonist,,这位同学，能再找你聊聊吗？,"Hi, can I ask something else?"
SAY.Chapter1.1243.Anonymous Student,,我能说的都已经说完了。,I have said all that I can.
SAY.Chapter1.1244.Anonymous Student,,请不要打扰我，我想独自一人怀念一下Rebecca。,"Please don't disturb me, I want to remember Rebecca alone."
SAY.Chapter1.1361.Bus Broadcast,,YIT站已到，请到站的乘客从后门下车,We have arrived at YIT station. Please use the rear doors to exit.
SAY.Chapter1.1489.Protagonist,,没有想到这么远，居然要花费一个多小时坐巴士，况且这雨下的没完没了，弄得浑身都是一股霉味。,"I didn't expect that it would take more than an hour to get here. And the rain has been endless, making my whole body smell  musty."
SAY.Chapter1.1490.Protagonist,,希望编辑这次给我的案子值得我千里迢迢跑到这个荒郊野岭。,I hope that the case the editor gave me this time is worth traveling all the way to this wilderness.
SAY.Chapter1.1491.Protagonist,,我记得书包里有相关资料的影印件。,"That's right, I brought some photocopies of relevant information in my bag."
SAY.Chapter1.417.Protagonist,,2020年六月二十日，我市一流大学YIT在毕业典礼当日早上于校内发现一具溺亡女尸。,"{i}June 20, 2020: at YIT, the most prestigious university in this city, a drowned female body was discovered on campus during the morning of the annual graduation ceremony.{/i}"
SAY.Chapter1.415.Protagonist,,推断为一起故意杀人案，受害者为在校大四学生Rebecca Rochester。,"{i}An intentional homicide was suspected; the victim was Rebecca Rochester, a senior at YIT.{/i}"
SAY.Chapter1.743.,,"New Character:\nRebecca Rochester, the victim.","New Character:\nRebecca Rochester, the victim."
SAY.Chapter1.418.Protagonist,,经过多方查证，警方将嫌疑人锁定为Rebecca交往两年的男朋友Antony Sallin，并以故意杀人罪对其进行指控。,"{i}After multiple investigations, the police identified a suspect: Antony Sallin, Rebecca's boyfriend of two years. They charged Sallin with intentional homicide.{/i}"
SAY.Chapter1.747.,,"New Character:\nAntony Sallin, the suspect.","New Character:\nAntony Sallin, the suspect."
SAY.Chapter1.419.Protagonist,,警方在Rebecca尸体颈部发现成年男子手掌大小掐痕，且在Antony寝室发现Rebecca随身携带的项链等私人物品。,"{i}The police found pinch marks on the neck of Rebecca's body, with the circumference of an adult man's hand. They also located some of Rebecca's personal belongings, such as necklaces, in Antony's dormitory.{/i}"
SAY.Chapter1.420.Protagonist,,多位该校老师作证案发当晚Antony与Rebecca曾经单独见面，且无人可以提供Antony在案发时间的不在场证明。,"{i}A number of teachers testified that Antony and Rebecca met alone on the night of the crime, and no one could provide an alibi for him.{/i}"
SAY.Chapter1.421.Protagonist,,据该校师生匿名透露，Antony在校期间与多名女性均保持暧昧关系，感情生活混乱。,"{i}According to anonymous comments from teachers and classmates, Antony maintained unstable and non-committal relationships with many female students.{/i}"
SAY.Chapter1.422.Protagonist,,自2019年大三下学期开始，Rebecca与Antony感情矛盾频发，多位学生曾目睹双方产生纠纷。,{i}Rebecca and Antony were known to have quarreled frequently aince the second semester of their junior year in 2019. Many students had witnessed disputes between the two sides.{/i}
SAY.Chapter1.423.Protagonist,,警方判断Antony对Rebecca存在长期人格控制以及潜在暴力行为。,{i}The police determined that Antony had long-term manipulative and potentially violent behavior towards Rebecca.{/i}
SAY.Chapter1.424.Protagonist,,12月28日，引发社会广泛关注的“YIT校园情杀案”被告人Antony Sallin因证据不足被判决无罪释放，最终案件以意外事故结案。,"{i}On December 28,  Antony was acquitted and released due to insufficient evidence. The case was finally announced as an accident...{/i}"
SAY.Chapter1.448.Protagonist,,YIT师生以及社会各界对此判决结果一片哗然，学校官方目前并未表态。,"{i}YIT teachers and students, and the society were in an uproar about the verdict, and the school officials have not yet expressed their views.{/i}"
SAY.Chapter1.750.Protagonist,,无罪释放？这种人最后居然被无罪释放？,Acquitted? Such a person was finally announced as not guilty?
SAY.Chapter1.753.Protagonist,,既然编辑认为这桩案件可以作为我新作品的灵感，看来案件背后应该另有隐情。,"Since the editor thinks this case can be used as the inspiration for my new work, it seems that there should be some hidden information behind it."
SAY.Chapter1.752.Protagonist,,接下来看第二份更新的报道。,I should look at the second report next.
SAY.Chapter1.751.Protagonist,,2022年6月21日。我市一流大学YIT决定对现有校园进行扩张。据悉，新校址选定在原商学院旁边的湖景区。,"{i}June 21, 2022: YIT decided to expand its campus.Reportedly, the new campus site is planned for the lake area next to the business school.{/i}"
SAY.Chapter1.756.Protagonist,,让我继续看看，这不是昨天的报纸吗？现在已经是事件发生的两年后了。,Hmm... This is yesterday's newspaper. It's just over two years after the incident.
SAY.Chapter1.755.Protagonist,,这样欲盖弥彰的行为，难道整桩案件与学校也有不为人知的牵扯？,This behavior smells like a cover-up... does this case have some hidden connection with the school's affairs?
SAY.Chapter1.754.Protagonist,,原来如此，因为要施工，这附近的路才变得坑坑洼洼，到处都是泥巴。,"Because of construction work, the road around here has become thoroughly bumpy and muddy."
SAY.Chapter1.757.Protagonist,,这些花束又是怎么回事？为什么摆得到处都是。\n难道现在毕业季流行摆白色菊花？虽然看起来有些毛骨悚然，但仔细看却清雅别致，现在的年轻人真是时髦。,"What's with these bouquets? Why are they everywhere? Is it popular to use white chrysanthemums for graduation now? Although it looks a little creepy at first, it does create an elegant and chic feel. Maybe it's a new trend among today's youth."
SAY.Chapter1.760.Protagonist,,话说回来不愧是新闻上反复强调的一流高校，占地面积很大，简直像一座小型城市。,"Having said that, the campus is worthy of a first-class university that's always making the news. This place looks like a small city."
SAY.Chapter1.759.Protagonist,,还是找张地图看看我现在的位置在哪里。,I need to find a map to figure out where I am now.
SAY.Chapter1.427.,,"Mission: ""Find the campus map.""","Mission: ""Find the campus map."""
SAY.Chapter1.716.Protagonist,,不对，我现在不需要这个。,I don't need this right now.
SAY.Chapter1.1109.Protagonist,,再仔细找找资料在哪里。,Carefully determine where the copies are.
SAY.Chapter1.462.Sophie,,Rebecca是我校2020届毕业生代表，她在校期间不仅成绩优异，对待同学更是亲切温柔。,"Rebecca is the representative of YIT's graduating class of 2020. During her time at school, she wasn't just an excellent student; she also treated her classmates kindly and tenderly."
SAY.Chapter1.463.Sophie,,我们这些后辈有任何麻烦，只要是她能帮到，她都会事无巨细地亲力亲为。,"If students in lower grades had any trouble, she'd take it on herself to help out in any way she could."
SAY.Chapter1.859.,,New Info:\nRebecca has a good reputation among students.,New Info:\nRebecca has a good reputation among students.
SAY.Chapter1.502.Sophie,,很不幸的是，两年前，学姐在毕业的前一天晚上遭遇不测，先一步离开了我们。,"Unfortunately, two years ago, on the night before graduation, she had an accident and left us forever."
MENU.Chapter1.811,,听起来是一个前途无量的学生。,She sounds like she was an exemplary student.
MENU.Chapter1.813,,你好像很喜欢她。,You seem to have admired her very much.
SAY.Chapter1.601.Sophie,,这位成绩优异、性格亲切的女大学生在正值花季的年龄失去生命，您难道对此毫无痛心吗？,"Don't you have any sympathy for this outstanding girl, known for her winning personality, who lost her life at such young age?"
SAY.Chapter1.602.Protagonist,,不……其实我，根本不认识她。,"No... You see, I didn't even know her."
SAY.Chapter1.605.Sophie,,当时在社交媒体上传得沸沸扬扬的事件，您竟然说对此一无所知？,"At the  time, there were a lot of rumors on social media.But you didn't know anything about it?"
SAY.Chapter1.606.Protagonist,,{i}（我确实不怎么关注网络上的争吵。) {/i},{i} (I really don’t pay much attention to quarrels on the Internet.) {/i}
SAY.Chapter1.607.Protagonist,,好吧，那这里到底发生了什么？,"Okay, so what happened here?"
SAY.Chapter1.489.Sophie,,谢谢，这是您的花束！Rebecca学姐在天之灵会保佑您的。,"Thank you, this is your bouquet! In remembrance of Rebecca..."
SAY.Chapter1.490.Sophie,,听起来有点恐怖。,Sounds like a horror movie.
SAY.Chapter1.497.,,New Item:\nYou got a bunch of flowers.\n,New Item:\nYou got a bunch of flowers.\n
SAY.Chapter1.495.Protagonist,,不过，看在我已经买了花的份上，你可以回答我Rebecca的死到底跟PUA有什么关系吗？,I already bought the flowers. Can you tell me whether Rebecca's death had anything to do with PUAs?
SAY.Chapter1.504.Sophie,,……其实并没有什么太大联系，我们只是想借此引起社会对此的重视而已。,"...to be honest, there is not much connection. We just wanted to raise awareness of this problem in society..."
SAY.Chapter1.870.Protagonist,,既然没有关系，为什么要特地在Rebecca的悼念会上进行捐款活动，难道你们是在蹭热度、诈骗捐款？\n,"If it doesn't matter, why  are you fundraising at Rebecca's memorial service? Are you scamming donations? \n"
SAY.Chapter1.871.Protagonist,,嘴上说着感谢学姐，实际却利用学姐赚钱。,You're making money off of Rebecca's death while pretending to miss her.
SAY.Chapter1.505.Sophie,,你这个人，说话怎么这么难听，我们可是毫无私心。,How rude! Our intentions aren't selfish.
SAY.Chapter1.872.Sophie,,如果能够有机会，我们都想报答她，她生前帮助我们许多。那一天后，我们所有人，都后悔着没有来得及对她道谢。,"Given the opportunity, we'd want to express our gratitude. She helped us a lot when she was still with us. After the tragedy, we all regretted not taking the time to thank her."
SAY.Chapter1.873.Sophie,,但是，我们除了尽力让他人能够避免重蹈覆辙，也无法再为她做到更多。,"But on top of trying our best to prevent others from repeating the same tragedy, we can do more."
